holidays_2016,holidays_2017,holidays_2018,holidays_2019,holidays_winter_2016,holidays_winter_2017,holidays_winter_2018,holidays_winter_2019,dnh_2016,dnh_2017,dnh_2018,dnh_2019,dnhw_2016,dnhw_2017,dnhw_2018,dnhw_2019
2016-01-01,2017-01-01,2018-01-01,2019-01-01,2016-07-18,2017-07-17,2018-07-16,2019-07-22,1,1,1,1,200.0,198.0,197.0,203.0
2016-02-08,2017-02-27,2018-02-12,2019-02-04,2016-07-29,2017-07-28,2018-07-27,2019-08-02,39,58,43,35,211.0,209.0,208.0,214.0
2016-02-09,2017-02-28,2018-02-13,2019-02-05,,,,,40,59,44,36,,,,
2016-03-24,2017-03-27,2018-03-24,2019-04-02,,,,,84,86,83,92,,,,
2016-03-25,2017-04-02,2018-03-30,2019-04-19,,,,,85,92,89,109,,,,
2016-04-02,2017-04-14,2018-04-02,2019-05-01,,,,,93,104,92,121,,,,
2016-05-01,2017-05-01,2018-04-30,2019-05-25,,,,,122,121,120,145,,,,
2016-05-25,2017-05-25,2018-05-01,2019-06-17,,,,,146,145,121,168,,,,
2016-06-20,2017-06-17,2018-05-25,2019-06-20,,,,,172,168,145,171,,,,
2016-07-08,2017-06-19,2018-06-20,2019-08-08,,,,,190,170,171,220,,,,
2016-07-09,2017-07-09,2018-07-09,2019-07-09,,,,,191,190,190,190,,,,
2016-07-15,2017-08-21,2018-08-20,2019-08-19,,,,,197,233,232,231,,,,
2016-10-10,2017-10-09,2018-10-15,2019-10-14,,,,,284,282,288,287,,,,
2016-12-08,2017-11-27,2018-11-19,2019-11-18,,,,,343,331,323,322,,,,
2016-12-09,2017-12-08,2018-12-08,2019-12-08,,,,,344,342,342,342,,,,
2016-12-25,2017-12-25,2018-12-25,2019-12-25,,,,,360,359,359,359,,,,
